date,aqi,precip,humidity,windspeed,winddir,acres_burned,temp_f,cloud_cover
1/1/17,18,0,75,10,269,0,51,51
1/2/17,5,0,78,7,198,0,49,49
1/3/17,0,2.4,89,13,149,0,54,54
1/4/17,10,1.1,90,7,271,0,55,55
1/5/17,10,0,65,5,200,0,48,48
1/6/17,10,0,66,6,74,0,46,46
1/7/17,10,1.7,93,11,131,0,55,55
1/8/17,10,2.2,93,18,175,0,58,58
1/9/17,14,2.1,87,11,211,0,55,55
1/10/17,8,0.9,94,18,197,0,56,56
1/11/17,19,0,82,10,235,0,52,52
1/12/17,10,2.7,87,4,234,0,48,48
1/13/17,34,0,74,3,117,0,53,53
1/14/17,33,0,75,3,166,0,52,52
1/15/17,56,0,78,3,50,0,51,51
1/16/17,62,0,77,5,67,0,51,51
1/17/17,72,0,81,5,66,0,50,50
1/18/17,40,6.1,86,13,144,0,52,52
1/19/17,22,1.1,82,9,223,0,54,54
1/20/17,12,1.2,82,15,217,0,53,53
1/21/17,20,1.3,81,12,206,0,53,53
1/22/17,11,7.2,84,13,203,0,54,54
1/23/17,15,1.6,77,5,205,0,51,51
1/24/17,26,0.3,80,6,128,0,52,52
1/25/17,31,0,80,3,248,0,52,52
1/26/17,34,0,80,3,163,0,54,54
1/27/17,35,0,69,4,120,0,55,55
1/28/17,49,0,73,7,71,0,55,55
1/29/17,57,0,74,5,75,0,57,57
1/30/17,56,0,73,5,71,0,58,58
1/31/17,75,0,81,5,71,0,57,57
2/1/17,82,0,80,4,85,0,54,54
2/2/17,12,0.4,88,8,135,0,58,58
2/3/17,18,2.1,90,12,194,0,59,59
2/4/17,17,0,89,7,198,0,58,58
2/5/17,13,0.1,87,12,163,0,58,58
2/6/17,18,0,93,12,188,0,56,56
2/7/17,21,2.7,94,13,202,0,60,60
2/8/17,18,0.6,95,8,176,0,61,61
2/9/17,12,0,94,11,186,0,59,59
2/10/17,22,0,88,6,256,0,59,59
2/11/17,21,0.1,74,6,309,0,59,59
2/12/17,28,0,71,3,133,0,60,60
2/13/17,37,0,81,2,202,0,59,59
2/14/17,42,0,78,2,152,0,61,61
2/15/17,47,0,78,4,138,0,63,63
2/16/17,29,0,83,9,217,0,60,60
2/17/17,13,3.7,92,11,123,0,55,55
2/18/17,14,2.4,82,12,268,0,54,54
2/19/17,2,1.3,84,12,164,0,53,53
2/20/17,5,8.7,93,15,168,0,56,56
2/21/17,24,0.7,84,11,242,0,57,57
2/22/17,10,0,73,12,293,0,53,53
2/23/17,9,0,67,8,306,0,51,51
2/24/17,13,0,69,4,230,0,51,51
2/25/17,18,0.2,75,4,171,0,52,52
2/26/17,16,0,72,6,236,0,54,54
2/27/17,12,0.5,72,6,293,0,52,52
2/28/17,14,0,71,6,306,0,55,55
3/1/17,29,0,72,3,191,0,58,58
3/2/17,23,0,74,3,149,0,62,62
3/3/17,30,0,79,4,225,0,61,61
3/4/17,8,0.1,86,12,230,0,57,57
3/5/17,12,0.4,71,15,264,0,49,49
3/6/17,11,0.4,77,6,213,0,52,52
3/7/17,23,0,79,3,204,0,57,57
3/8/17,16,0,79,4,310,0,63,63
3/9/17,37,0,83,4,280,0,66,66
