2017_precip,2018_precip,2017_wind_speed_miles,2018_wind_speed_miles,2017_humidity,2018_humidity,2017_wind_degree,2018_wind_degree,2017_temp_F,2018_temp_F,2017_cloud_cover,2018_cloud_cover
0.0,0.0,10.0,2.0,75.0,76.0,269.0,155.0,51.0,60.0,51.0,60.0
0.0,0.0,7.0,4.0,78.0,61.0,198.0,82.0,49.0,60.0,49.0,60.0
2.4,1.7,13.0,4.0,89.0,74.0,149.0,88.0,54.0,55.0,54.0,55.0
1.1,0.1,7.0,4.0,90.0,84.0,271.0,129.0,55.0,62.0,55.0,62.0
0.0,1.0,5.0,5.0,65.0,89.0,200.0,209.0,48.0,59.0,48.0,59.0
0.0,0.0,6.0,3.0,66.0,78.0,74.0,244.0,46.0,58.0,46.0,58.0
1.7,0.0,11.0,3.0,93.0,83.0,131.0,65.0,55.0,54.0,55.0,54.0
2.2,4.2,18.0,5.0,93.0,92.0,175.0,94.0,58.0,55.0,58.0,55.0
2.1,0.0,11.0,7.0,87.0,90.0,211.0,239.0,55.0,56.0,55.0,56.0
0.9,0.2,18.0,4.0,94.0,86.0,197.0,228.0,56.0,55.0,56.0,55.0
0.0,0.0,10.0,2.0,82.0,87.0,235.0,245.0,52.0,59.0,52.0,59.0
2.7,0.0,4.0,2.0,87.0,83.0,234.0,151.0,48.0,59.0,48.0,59.0
0.0,0.0,3.0,5.0,74.0,78.0,117.0,68.0,53.0,59.0,53.0,59.0
0.0,0.0,3.0,5.0,75.0,78.0,166.0,73.0,52.0,58.0,52.0,58.0
0.0,0.0,3.0,3.0,78.0,76.0,50.0,80.0,51.0,60.0,51.0,60.0
0.0,0.3,5.0,2.0,77.0,84.0,67.0,76.0,51.0,58.0,51.0,58.0
0.0,0.0,5.0,2.0,81.0,87.0,66.0,79.0,50.0,58.0,50.0,58.0
6.1,0.3,13.0,6.0,86.0,85.0,144.0,199.0,52.0,59.0,52.0,59.0
1.1,0.4,9.0,6.0,82.0,70.0,223.0,290.0,54.0,54.0,54.0,54.0
1.2,0.0,15.0,5.0,82.0,65.0,217.0,300.0,53.0,54.0,53.0,54.0
